Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Event Type,Event Time,Ride Distance,Booking Value,Payment Method,Driver Ratings,Customer Rating,Cancelled by,Cancellation Reason,Incomplete Rides,Incomplete Rides Reason
"""CNR6126048""",Cancelled by Customer,"""CID1060329""",eBike,Kashmere Gate,Anand Vihar,BOOKING_CREATED,2024-11-24 09:07:10,,,,,,,,,
"""CNR6126048""",Cancelled by Customer,"""CID1060329""",eBike,Kashmere Gate,Anand Vihar,DRIVER_ASSIGNED,2024-11-24 09:19:34,,,,,,,,,
"""CNR6126048""",Cancelled by Customer,"""CID1060329""",eBike,Kashmere Gate,Anand Vihar,RIDE_CANCELLED_BY_CUSTOMER,2024-11-24 09:33:36,,,,,,Customer,Driver is not moving towards pickup location,,
"""CNR4218487""",Cancelled by Customer,"""CID3037053""",Bike,Noida Extension,Udyog Vihar Phase 4,BOOKING_CREATED,2024-09-10 13:02:42,,,,,,,,,
"""CNR4218487""",Cancelled by Customer,"""CID3037053""",Bike,Noida Extension,Udyog Vihar Phase 4,DRIVER_ASSIGNED,2024-09-10 13:13:42,,,,,,,,,
"""CNR4218487""",Cancelled by Customer,"""CID3037053""",Bike,Noida Extension,Udyog Vihar Phase 4,RIDE_CANCELLED_BY_CUSTOMER,2024-09-10 13:26:23,,,,,,Customer,Driver is not moving towards pickup location,,
"""CNR4862806""",Cancelled by Customer,"""CID7875150""",Auto,Shastri Park,Anand Vihar ISBT,BOOKING_CREATED,2024-08-02 07:17:07,,,,,,,,,
"""CNR4862806""",Cancelled by Customer,"""CID7875150""",Auto,Shastri Park,Anand Vihar ISBT,DRIVER_ASSIGNED,2024-08-02 07:28:25,,,,,,,,,
"""CNR4862806""",Cancelled by Customer,"""CID7875150""",Auto,Shastri Park,Anand Vihar ISBT,RIDE_CANCELLED_BY_CUSTOMER,2024-08-02 07:42:46,,,,,,Customer,Driver asked to cancel,,
"""CNR2497989""",Cancelled by Customer,"""CID5007066""",Auto,Karkarduma,IGI Airport,BOOKING_CREATED,2024-02-09 11:15:59,,,,,,,,,
"""CNR2497989""",Cancelled by Customer,"""CID5007066""",Auto,Karkarduma,IGI Airport,DRIVER_ASSIGNED,2024-02-09 11:32:35,,,,,,,,,
"""CNR2497989""",Cancelled by Customer,"""CID5007066""",Auto,Karkarduma,IGI Airport,RIDE_CANCELLED_BY_CUSTOMER,2024-02-09 11:35:30,,,,,,Customer,Driver is not moving towards pickup location,,
"""CNR2601752""",Cancelled by Customer,"""CID9283370""",Go Sedan,Sadar Bazar Gurgaon,Indraprastha,BOOKING_CREATED,2024-11-25 08:29:14,,,,,,,,,
"""CNR2601752""",Cancelled by Customer,"""CID9283370""",Go Sedan,Sadar Bazar Gurgaon,Indraprastha,DRIVER_ASSIGNED,2024-11-25 08:41:14,,,,,,,,,
"""CNR2601752""",Cancelled by Customer,"""CID9283370""",Go Sedan,Sadar Bazar Gurgaon,Indraprastha,RIDE_CANCELLED_BY_CUSTOMER,2024-11-25 08:45:30,,,,,,Customer,Driver asked to cancel,,
"""CNR2598306""",Cancelled by Customer,"""CID5704025""",Premier Sedan,Chhatarpur,Badshahpur,BOOKING_CREATED,2024-03-26 18:59:52,,,,,,,,,
"""CNR2598306""",Cancelled by Customer,"""CID5704025""",Premier Sedan,Chhatarpur,Badshahpur,DRIVER_ASSIGNED,2024-03-26 19:14:16,,,,,,,,,
"""CNR2598306""",Cancelled by Customer,"""CID5704025""",Premier Sedan,Chhatarpur,Badshahpur,RIDE_CANCELLED_BY_CUSTOMER,2024-03-26 19:27:56,,,,,,Customer,AC is not working,,
"""CNR6241612""",Cancelled by Customer,"""CID5715130""",Auto,Azadpur,Hauz Rani,BOOKING_CREATED,2024-01-07 16:21:31,,,,,,,,,
"""CNR6241612""",Cancelled by Customer,"""CID5715130""",Auto,Azadpur,Hauz Rani,DRIVER_ASSIGNED,2024-01-07 16:29:25,,,,,,,,,
"""CNR6241612""",Cancelled by Customer,"""CID5715130""",Auto,Azadpur,Hauz Rani,RIDE_CANCELLED_BY_CUSTOMER,2024-01-07 16:38:53,,,,,,Customer,Driver asked to cancel,,
"""CNR3975051""",Cancelled by Customer,"""CID5797043""",Go Mini,Hauz Rani,Kaushambi,BOOKING_CREATED,2024-07-21 10:45:00,,,,,,,,,
"""CNR3975051""",Cancelled by Customer,"""CID5797043""",Go Mini,Hauz Rani,Kaushambi,DRIVER_ASSIGNED,2024-07-21 10:58:06,,,,,,,,,
"""CNR3975051""",Cancelled by Customer,"""CID5797043""",Go Mini,Hauz Rani,Kaushambi,RIDE_CANCELLED_BY_CUSTOMER,2024-07-21 11:02:58,,,,,,Customer,Driver asked to cancel,,
"""CNR1984811""",Cancelled by Customer,"""CID6701334""",Auto,Dilshad Garden,Qutub Minar,BOOKING_CREATED,2024-09-22 06:39:39,,,,,,,,,
"""CNR1984811""",Cancelled by Customer,"""CID6701334""",Auto,Dilshad Garden,Qutub Minar,DRIVER_ASSIGNED,2024-09-22 06:47:45,,,,,,,,,
"""CNR1984811""",Cancelled by Customer,"""CID6701334""",Auto,Dilshad Garden,Qutub Minar,RIDE_CANCELLED_BY_CUSTOMER,2024-09-22 06:54:01,,,,,,Customer,Change of plans,,
"""CNR6129081""",Cancelled by Customer,"""CID2998238""",Bike,Shastri Nagar,Shivaji Park,BOOKING_CREATED,2024-01-26 18:13:59,,,,,,,,,
"""CNR6129081""",Cancelled by Customer,"""CID2998238""",Bike,Shastri Nagar,Shivaji Park,DRIVER_ASSIGNED,2024-01-26 18:20:59,,,,,,,,,
