Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Event Type,Event Time,Ride Distance,Booking Value,Payment Method,Driver Ratings,Customer Rating,Cancelled by,Cancellation Reason,Incomplete Rides,Incomplete Rides Reason
"""CNR4386945""",Cancelled by Driver,"""CID5543520""",eBike,Patel Chowk,Kherki Daula Toll,BOOKING_CREATED,2024-06-25 22:44:15,,,,,,,,,
"""CNR4386945""",Cancelled by Driver,"""CID5543520""",eBike,Patel Chowk,Kherki Daula Toll,DRIVER_ASSIGNED,2024-06-25 22:48:51,,,,,,,,,
"""CNR4386945""",Cancelled by Driver,"""CID5543520""",eBike,Patel Chowk,Kherki Daula Toll,RIDE_CANCELLED_BY_DRIVER,2024-06-25 22:50:29,,,,,,Driver,Personal & Car related issues,,
"""CNR6739317""",Cancelled by Driver,"""CID8682675""",Go Sedan,Vinobapuri,GTB Nagar,BOOKING_CREATED,2024-12-15 15:08:25,,,,,,,,,
"""CNR6739317""",Cancelled by Driver,"""CID8682675""",Go Sedan,Vinobapuri,GTB Nagar,DRIVER_ASSIGNED,2024-12-15 15:14:25,,,,,,,,,
"""CNR6739317""",Cancelled by Driver,"""CID8682675""",Go Sedan,Vinobapuri,GTB Nagar,RIDE_CANCELLED_BY_DRIVER,2024-12-15 15:29:09,,,,,,Driver,Customer related issue,,
"""CNR9465840""",Cancelled by Driver,"""CID9046501""",eBike,Pitampura,Rajiv Nagar,BOOKING_CREATED,2024-05-24 19:53:57,,,,,,,,,
"""CNR9465840""",Cancelled by Driver,"""CID9046501""",eBike,Pitampura,Rajiv Nagar,DRIVER_ASSIGNED,2024-05-24 20:04:15,,,,,,,,,
"""CNR9465840""",Cancelled by Driver,"""CID9046501""",eBike,Pitampura,Rajiv Nagar,RIDE_CANCELLED_BY_DRIVER,2024-05-24 20:15:04,,,,,,Driver,Customer related issue,,
"""CNR3614535""",Cancelled by Driver,"""CID2507102""",Auto,Cyber Hub,Saket,BOOKING_CREATED,2024-01-26 09:44:00,,,,,,,,,
"""CNR3614535""",Cancelled by Driver,"""CID2507102""",Auto,Cyber Hub,Saket,DRIVER_ASSIGNED,2024-01-26 09:55:30,,,,,,,,,
"""CNR3614535""",Cancelled by Driver,"""CID2507102""",Auto,Cyber Hub,Saket,RIDE_CANCELLED_BY_DRIVER,2024-01-26 10:10:23,,,,,,Driver,Personal & Car related issues,,
"""CNR2178654""",Cancelled by Driver,"""CID3631860""",Go Mini,Qutub Minar,Vishwavidyalaya,BOOKING_CREATED,2024-05-18 17:37:52,,,,,,,,,
"""CNR2178654""",Cancelled by Driver,"""CID3631860""",Go Mini,Qutub Minar,Vishwavidyalaya,DRIVER_ASSIGNED,2024-05-18 17:47:04,,,,,,,,,
"""CNR2178654""",Cancelled by Driver,"""CID3631860""",Go Mini,Qutub Minar,Vishwavidyalaya,RIDE_CANCELLED_BY_DRIVER,2024-05-18 17:58:50,,,,,,Driver,More than permitted people in there,,
"""CNR8087051""",Cancelled by Driver,"""CID9716528""",Go Sedan,New Colony,Ghitorni Village,BOOKING_CREATED,2024-07-13 19:53:15,,,,,,,,,
"""CNR8087051""",Cancelled by Driver,"""CID9716528""",Go Sedan,New Colony,Ghitorni Village,DRIVER_ASSIGNED,2024-07-13 19:58:39,,,,,,,,,
"""CNR8087051""",Cancelled by Driver,"""CID9716528""",Go Sedan,New Colony,Ghitorni Village,RIDE_CANCELLED_BY_DRIVER,2024-07-13 20:00:29,,,,,,Driver,Customer related issue,,
"""CNR5333099""",Cancelled by Driver,"""CID5112050""",Auto,Adarsh Nagar,Civil Lines Gurgaon,BOOKING_CREATED,2024-09-12 09:14:57,,,,,,,,,
"""CNR5333099""",Cancelled by Driver,"""CID5112050""",Auto,Adarsh Nagar,Civil Lines Gurgaon,DRIVER_ASSIGNED,2024-09-12 09:22:57,,,,,,,,,
"""CNR5333099""",Cancelled by Driver,"""CID5112050""",Auto,Adarsh Nagar,Civil Lines Gurgaon,RIDE_CANCELLED_BY_DRIVER,2024-09-12 09:26:00,,,,,,Driver,Personal & Car related issues,,
"""CNR6693125""",Cancelled by Driver,"""CID7364449""",Auto,Karol Bagh,Tagore Garden,BOOKING_CREATED,2024-10-02 19:17:00,,,,,,,,,
"""CNR6693125""",Cancelled by Driver,"""CID7364449""",Auto,Karol Bagh,Tagore Garden,DRIVER_ASSIGNED,2024-10-02 19:22:24,,,,,,,,,
"""CNR6693125""",Cancelled by Driver,"""CID7364449""",Auto,Karol Bagh,Tagore Garden,RIDE_CANCELLED_BY_DRIVER,2024-10-02 19:26:08,,,,,,Driver,More than permitted people in there,,
"""CNR6444364""",Cancelled by Driver,"""CID8262635""",Go Mini,Moti Nagar,Anand Vihar ISBT,BOOKING_CREATED,2024-09-18 21:06:36,,,,,,,,,
"""CNR6444364""",Cancelled by Driver,"""CID8262635""",Go Mini,Moti Nagar,Anand Vihar ISBT,DRIVER_ASSIGNED,2024-09-18 21:13:12,,,,,,,,,
"""CNR6444364""",Cancelled by Driver,"""CID8262635""",Go Mini,Moti Nagar,Anand Vihar ISBT,RIDE_CANCELLED_BY_DRIVER,2024-09-18 21:24:08,,,,,,Driver,More than permitted people in there,,
"""CNR6092529""",Cancelled by Driver,"""CID5040634""",Go Sedan,Ardee City,Basai Dhankot,BOOKING_CREATED,2024-03-04 17:46:46,,,,,,,,,
"""CNR6092529""",Cancelled by Driver,"""CID5040634""",Go Sedan,Ardee City,Basai Dhankot,DRIVER_ASSIGNED,2024-03-04 17:57:58,,,,,,,,,
"""CNR6092529""",Cancelled by Driver,"""CID5040634""",Go Sedan,Ardee City,Basai Dhankot,RIDE_CANCELLED_BY_DRIVER,2024-03-04 18:05:35,,,,,,Driver,More than permitted people in there,,
"""CNR1349015""",Cancelled by Driver,"""CID9386278""",Auto,Meerut,Badarpur,BOOKING_CREATED,2024-09-11 10:36:44,,,,,,,,,
"""CNR1349015""",Cancelled by Driver,"""CID9386278""",Auto,Meerut,Badarpur,DRIVER_ASSIGNED,2024-09-11 10:41:02,,,,,,,,,
"""CNR1349015""",Cancelled by Driver,"""CID9386278""",Auto,Meerut,Badarpur,RIDE_CANCELLED_BY_DRIVER,2024-09-11 10:51:34,,,,,,Driver,More than permitted people in there,,
"""CNR4171959""",Cancelled by Driver,"""CID8470723""",Premier Sedan,Lajpat Nagar,Ramesh Nagar,BOOKING_CREATED,2024-05-09 10:44:30,,,,,,,,,
"""CNR4171959""",Cancelled by Driver,"""CID8470723""",Premier Sedan,Lajpat Nagar,Ramesh Nagar,DRIVER_ASSIGNED,2024-05-09 10:50:48,,,,,,,,,
"""CNR4171959""",Cancelled by Driver,"""CID8470723""",Premier Sedan,Lajpat Nagar,Ramesh Nagar,RIDE_CANCELLED_BY_DRIVER,2024-05-09 10:58:30,,,,,,Driver,Customer related issue,,
"""CNR8946337""",Cancelled by Driver,"""CID6438326""",Go Sedan,Shastri Nagar,New Colony,BOOKING_CREATED,2024-03-02 04:59:03,,,,,,,,,
"""CNR8946337""",Cancelled by Driver,"""CID6438326""",Go Sedan,Shastri Nagar,New Colony,DRIVER_ASSIGNED,2024-03-02 05:04:27,,,,,,,,,
"""CNR8946337""",Cancelled by Driver,"""CID6438326""",Go Sedan,Shastri Nagar,New Colony,RIDE_CANCELLED_BY_DRIVER,2024-03-02 05:07:23,,,,,,Driver,Customer related issue,,
"""CNR4660896""",Cancelled by Driver,"""CID5486947""",Premier Sedan,Dwarka Mor,ITO,BOOKING_CREATED,2024-03-08 09:28:38,,,,,,,,,
"""CNR4660896""",Cancelled by Driver,"""CID5486947""",Premier Sedan,Dwarka Mor,ITO,DRIVER_ASSIGNED,2024-03-08 09:34:26,,,,,,,,,
"""CNR4660896""",Cancelled by Driver,"""CID5486947""",Premier Sedan,Dwarka Mor,ITO,RIDE_CANCELLED_BY_DRIVER,2024-03-08 09:47:22,,,,,,Driver,More than permitted people in there,,
"""CNR2513330""",Cancelled by Driver,"""CID7805280""",Premier Sedan,Adarsh Nagar,Noida Extension,BOOKING_CREATED,2024-03-20 09:59:11,,,,,,,,,
"""CNR2513330""",Cancelled by Driver,"""CID7805280""",Premier Sedan,Adarsh Nagar,Noida Extension,DRIVER_ASSIGNED,2024-03-20 10:05:53,,,,,,,,,
"""CNR2513330""",Cancelled by Driver,"""CID7805280""",Premier Sedan,Adarsh Nagar,Noida Extension,RIDE_CANCELLED_BY_DRIVER,2024-03-20 10:20:46,,,,,,Driver,Customer related issue,,
"""CNR6204326""",Cancelled by Driver,"""CID9419495""",Auto,Mandi House,India Gate,BOOKING_CREATED,2024-12-22 10:53:20,,,,,,,,,
