Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Event Type,Event Time,Ride Distance,Booking Value,Payment Method,Driver Ratings,Customer Rating,Cancelled by,Cancellation Reason,Incomplete Rides,Incomplete Rides Reason
"""CNR1326809""",Incomplete,"""CID4604802""",Go Sedan,Shastri Nagar,Gurgaon Sector 56,BOOKING_CREATED,2024-11-29 18:01:39,,,,,,,,,
"""CNR1326809""",Incomplete,"""CID4604802""",Go Sedan,Shastri Nagar,Gurgaon Sector 56,DRIVER_ASSIGNED,2024-11-29 18:06:33,,,,,,,,,
"""CNR1326809""",Incomplete,"""CID4604802""",Go Sedan,Shastri Nagar,Gurgaon Sector 56,RIDE_STARTED,2024-11-29 18:06:33,,,,,,,,,
"""CNR1326809""",Incomplete,"""CID4604802""",Go Sedan,Shastri Nagar,Gurgaon Sector 56,RIDE_INCOMPLETE,2024-11-29 18:14:43,5.73,,,,,,,1.0,Vehicle Breakdown
"""CNR7721892""",Incomplete,"""CID5214275""",Auto,Rohini,Adarsh Nagar,BOOKING_CREATED,2024-12-16 19:06:48,,,,,,,,,
"""CNR7721892""",Incomplete,"""CID5214275""",Auto,Rohini,Adarsh Nagar,DRIVER_ASSIGNED,2024-12-16 19:12:54,,,,,,,,,
"""CNR7721892""",Incomplete,"""CID5214275""",Auto,Rohini,Adarsh Nagar,RIDE_STARTED,2024-12-16 19:12:54,,,,,,,,,
"""CNR7721892""",Incomplete,"""CID5214275""",Auto,Rohini,Adarsh Nagar,RIDE_INCOMPLETE,2024-12-16 19:23:54,10.36,,,,,,,1.0,Other Issue
"""CNR9834201""",Incomplete,"""CID7891331""",Bike,Shastri Park,Botanical Garden,BOOKING_CREATED,2024-04-05 18:57:12,,,,,,,,,
"""CNR9834201""",Incomplete,"""CID7891331""",Bike,Shastri Park,Botanical Garden,DRIVER_ASSIGNED,2024-04-05 19:00:18,,,,,,,,,
"""CNR9834201""",Incomplete,"""CID7891331""",Bike,Shastri Park,Botanical Garden,RIDE_STARTED,2024-04-05 19:00:18,,,,,,,,,
